frame,t_norm,cam_x_m,cam_y_m,cam_z_m,observer_x_m,observer_y_m,observer_z_m,distance_m,azimuth_deg,altitude_m
0,0.0,200.0,0.0,-50.0,0.0,0.0,-50.0,200.0,0.0,50.0
1,0.005025125628140704,199.04522613065328,0.0,-50.0,0.0,0.0,-50.0,199.04522613065328,0.0,50.0
2,0.010050251256281407,198.09045226130652,0.0,-50.0,0.0,0.0,-50.0,198.09045226130652,0.0,50.0
3,0.01507537688442211,197.1356783919598,0.0,-50.0,0.0,0.0,-50.0,197.1356783919598,0.0,50.0
4,0.020100502512562814,196.18090452261308,0.0,-50.0,0.0,0.0,-50.0,196.18090452261308,0.0,50.0
5,0.02512562814070352,195.22613065326632,0.0,-50.0,0.0,0.0,-50.0,195.22613065326632,0.0,50.0
6,0.03015075376884422,194.2713567839196,0.0,-50.0,0.0,0.0,-50.0,194.2713567839196,0.0,50.0
7,0.035175879396984924,193.31658291457288,0.0,-50.0,0.0,0.0,-50.0,193.31658291457288,0.0,50.0
8,0.04020100502512563,192.36180904522612,0.0,-50.0,0.0,0.0,-50.0,192.36180904522612,0.0,50.0
9,0.04522613065326633,191.4070351758794,0.0,-50.0,0.0,0.0,-50.0,191.4070351758794,0.0,50.0
10,0.05025125628140704,190.45226130653265,0.0,-50.0,0.0,0.0,-50.0,190.45226130653265,0.0,50.0
11,0.05527638190954774,189.49748743718592,0.0,-50.0,0.0,0.0,-50.0,189.49748743718592,0.0,50.0
12,0.06030150753768844,188.5427135678392,0.0,-50.0,0.0,0.0,-50.0,188.5427135678392,0.0,50.0
13,0.06532663316582915,187.58793969849245,0.0,-50.0,0.0,0.0,-50.0,187.58793969849245,0.0,50.0
14,0.07035175879396985,186.63316582914572,0.0,-50.0,0.0,0.0,-50.0,186.63316582914572,0.0,50.0
15,0.07537688442211055,185.678391959799,0.0,-50.0,0.0,0.0,-50.0,185.678391959799,0.0,50.0
16,0.08040201005025126,184.72361809045225,0.0,-50.0,0.0,0.0,-50.0,184.72361809045225,0.0,50.0
17,0.08542713567839195,183.76884422110552,0.0,-50.0,0.0,0.0,-50.0,183.76884422110552,0.0,50.0
18,0.09045226130653267,182.8140703517588,0.0,-50.0,0.0,0.0,-50.0,182.8140703517588,0.0,50.0
19,0.09547738693467336,181.85929648241205,0.0,-50.0,0.0,0.0,-50.0,181.85929648241205,0.0,50.0
20,0.10050251256281408,180.90452261306532,0.0,-50.0,0.0,0.0,-50.0,180.90452261306532,0.0,50.0
21,0.10552763819095477,179.9497487437186,0.0,-50.0,0.0,0.0,-50.0,179.9497487437186,0.0,50.0
22,0.11055276381909548,178.99497487437185,0.0,-50.0,0.0,0.0,-50.0,178.99497487437185,0.0,50.0
23,0.11557788944723618,178.04020100502512,0.0,-50.0,0.0,0.0,-50.0,178.04020100502512,0.0,50.0
24,0.12060301507537688,177.0854271356784,0.0,-50.0,0.0,0.0,-50.0,177.0854271356784,0.0,50.0
25,0.12562814070351758,176.13065326633165,0.0,-50.0,0.0,0.0,-50.0,176.13065326633165,0.0,50.0
26,0.1306532663316583,175.17587939698493,0.0,-50.0,0.0,0.0,-50.0,175.17587939698493,0.0,50.0
27,0.135678391959799,174.2211055276382,0.0,-50.0,0.0,0.0,-50.0,174.2211055276382,0.0,50.0
28,0.1407035175879397,173.26633165829145,0.0,-50.0,0.0,0.0,-50.0,173.26633165829145,0.0,50.0
29,0.1457286432160804,172.31155778894473,0.0,-50.0,0.0,0.0,-50.0,172.31155778894473,0.0,50.0
30,0.1507537688442211,171.356783919598,0.0,-50.0,0.0,0.0,-50.0,171.356783919598,0.0,50.0
31,0.15577889447236182,170.40201005025125,0.0,-50.0,0.0,0.0,-50.0,170.40201005025125,0.0,50.0
32,0.16080402010050251,169.44723618090453,0.0,-50.0,0.0,0.0,-50.0,169.44723618090453,0.0,50.0
33,0.1658291457286432,168.4924623115578,0.0,-50.0,0.0,0.0,-50.0,168.4924623115578,0.0,50.0
34,0.1708542713567839,167.53768844221105,0.0,-50.0,0.0,0.0,-50.0,167.53768844221105,0.0,50.0
35,0.17587939698492464,166.58291457286433,0.0,-50.0,0.0,0.0,-50.0,166.58291457286433,0.0,50.0
